Thread     Type        Activity             PID    TTL  
0x65       Default     0x0                  0      0    kernel: calling mpo_policy_init for AMFI
0x65       Default     0x0                  0      0    kernel: Security policy loaded: Apple Mobile File Integrity (AMFI)
0x65       Default     0x0                  0      0    kernel: calling mpo_policy_init for Sandbox
0x65       Default     0x0                  0      0    kernel: Security policy loaded: Seatbelt sandbox policy (Sandbox)
0x65       Default     0x0                  0      0    kernel: calling mpo_policy_init for Quarantine
0x65       Default     0x0                  0      0    kernel: Security policy loaded: Quarantine policy (Quarantine)
0x65       Info        0x0                  0      0    kernel: (AppleSystemPolicy) Initializing vnode cache
0x65       Default     0x0                  0      0    kernel: initialized XNU provisioning profile data
0x65       Default     0x0                  0      0    kernel: initialized PPL provisioning profile data
0x65       Default     0x0                  0      0    kernel: attempting to load 2 external trust cache modules
0x65       Default     0x0                  0      0    kernel: loaded external trust cache module: 0
0x65       Default     0x0                  0      0    kernel: loaded external trust cache module: 1
0x65       Default     0x0                  0      0    kernel: completed loading external trust cache modules
0x65       Default     0x0                  0      0    kernel: CTRR (MMU) Begin: 0x803****00 End: 0x807****ff, setting lockdown
0x65       Default     0x0                  0      0    kernel: (InvalidateHmac) Beginning SIO HMAC invalidation...
0x65       Default     0x0                  0      0    kernel: (InvalidateHmac) SIO HMAC invalidation config = 0
0x65       Default     0x0                  0      0    kernel: (InvalidateHmac) Finished SIO HMAC invalidation.
0x78       Default     0x0                  0      0    kernel: PMRD: PMTraceWorker 0x***********7d5
0x78       Default     0x0                  0      0    kernel: PMRD: changePowerStateWithTagToPriv(ON_STATE, 10001)
0x7a       Default     0x0                  0      0    kernel: PMRD: power event 7 args 0x***********145 0x0
0x7a       Default     0x0                  0      0    kernel: PMRD: power event 7 args 0x***********f85 0x0
0x7a       Default     0x0                  0      0    kernel: PMRD: PowerChangeOverride (OFF_STATE->ON_STATE, f, 0x2) tag 0x20064
0x7a       Default     0x0                  0      0    kernel: PMRD: sysPowerDownHandler message kIOMessageSystemCapabilityChange
0x7a       Default     0x0                  0      0    kernel: PMRD: sysPowerDownHandler cap f -> f (flags 1)
0x7a       Default     0x0                  0      0    kernel: PMRD: sysPowerDownHandler message kIOMessageSystemCapabilityChange
0x7a       Default     0x0                  0      0    kernel: PMRD: sysPowerDownHandler cap f -> f (flags 2)
0x7a       Default     0x0                  0      0    kernel: PMRD: tellChangeUp OFF_STATE->ON_STATE
0x7a       Default     0x0                  0      0    kernel: PMRD: PowerChangeDone: OFF_STATE->ON_STATE
0x7a       Default     0x0                  0      0    kernel: PMRD: Force re-evaluating aggressiveness
0x7a       Default     0x0                  0      0    kernel: PMRD: changePowerStateWithTagToPriv(ON_STATE, 30002)
0x7a       Default     0x0                  0      0    kernel: PMRD: PowerChangeOverride (ON_STATE->ON_STATE, f, 0x2) tag 0x10001
0x7a       Default     0x0                  0      0    kernel: PMRD: PowerChangeDone: ON_STATE->ON_STATE
0x7a       Default     0x0                  0      0    kernel: PMRD: PowerChangeOverride (ON_STATE->ON_STATE, f, 0x302) tag 0x40064
0x7a       Default     0x0                  0      0    kernel: PMRD: PowerChangeDone: ON_STATE->ON_STATE
0x7a       Default     0x0                  0      0    kernel: PMRD: PowerChangeOverride (ON_STATE->ON_STATE, f, 0x302) tag 0x50064
0x7a       Default     0x0                  0      0    kernel: PMRD: PowerChangeDone: ON_STATE->ON_STATE
0x7a       Default     0x0                  0      0    kernel: PMRD: changePowerStateWithTagToPriv(ON_STATE, 60008)
0x7a       Default     0x0                  0      0    kernel: PMRD: PowerChangeOverride (ON_STATE->ON_STATE, f, 0x2) tag 0x30002
0x7a       Default     0x0                  0      0    kernel: PMRD: PowerChangeDone: ON_STATE->ON_STATE
0x7a       Default     0x0                  0      0    kernel: PMRD: PowerChangeOverride (ON_STATE->ON_STATE, f, 0x2) tag 0x60008
0x7a       Default     0x0                  0      0    kernel: PMRD: PowerChangeDone: ON_STATE->ON_STATE
0x79       Default     0x0                  0      0    kernel: (IOGraphicsFamily) IOG flags 0x3 (0x51)
0x79       Default     0x0                  0      0    kernel: (AppleCredentialManager) AppleCredentialManager: init: inited KE[1] (ready=NO, AVP=NO) -> true.
0x79       Default     0x0                  0      0    kernel: (AppleCredentialManager) AppleCredentialManager: probe: probed KE[1] (ready=NO) -> true (score=0).
0x79       Default     0x0                  0      0    kernel: AppleIPAppender::probe(IOResources)
0x79       Default     0x0                  0      0    kernel: Couldn't alloc class "AppleKeyStoreTest"
0x79       Default     0x0                  0      0    kernel: (BroadcomBluetoothHostControllerUSBTransport) 
**** [BroadcomBluetoothHostControllerUSBTransport][init] -- entering ****
0x79       Default     0x0                  0      0    kernel: (BroadcomBluetoothHostControllerUSBTransport) **** [BroadcomBluetoothHostControllerUSBTransport][init] -- exiting -- success ****
0x79       Default     0x0                  0      0    kernel: (CSRBluetoothHostControllerUSBTransport) 
**** [CSRBluetoothHostControllerUSBTransport][init] -- entering ****
0x79       Default     0x0                  0      0    kernel: (CSRBluetoothHostControllerUSBTransport) **** [CSRBluetoothHostControllerUSBTransport][init] -- exiting -- success ****
0x79       Default     0x0                  0      0    kernel: (IOBluetoothHostControllerPCIeTransport) 
**** [IOBluetoothHostControllerPCIeTransport][init] -- entering ****
0x79       Default     0x0                  0      0    kernel: (IOBluetoothHostControllerPCIeTransport) **** [IOBluetoothHostControllerPCIeTransport][init] -- exiting -- success ****
0x79       Default     0x0                  0      0    kernel: (IOBluetoothHostControllerTransport) 
**** [IOBluetoothHostControllerTransport][init] -- entering ****
0x79       Default     0x0                  0      0    kernel: (IOBluetoothHostControllerTransport) **** [IOBluetoothHostControllerTransport][init] -- exiting -- success ****
0x79       Default     0x0                  0      0    kernel: (IOBluetoothHostControllerUARTTransport) 
**** [IOBluetoothHostControllerUARTTransport][init] -- entering ****
0x79       Default     0x0                  0      0    kernel: (IOBluetoothHostControllerUARTTransport) **** [IOBluetoothHostControllerUARTTransport][init] -- exiting -- success ****
0x79       Default     0x0                  0      0    kernel: (IOBluetoothHostControllerUSBTransport) 
**** [IOBluetoothHostControllerUSBTransport][init] -- entering ****
0x79       Default     0x0                  0      0    kernel: (IOBluetoothHostControllerUSBTransport) **** [IOBluetoothHostControllerUSBTransport][init] -- exiting -- success ****
0x79       Default     0x0                  0      0    kernel: (IOBluetoothSerialManager) 
**** [IOBluetoothSerialManager][init] -- entering ****
0x79       Default     0x0                  0      0    kernel: (IOBluetoothSerialManager) **** [IOBluetoothSerialManager][init] -- exiting -- success ****
0x79       Default     0x0                  0      0    kernel: (IOTimeSyncFamily) IOTimeSyncClockManagerLoader::probe TimeSyncTime not ready yet
0x79       Default     0x0                  0      0    kernel: (FairPlayIOKit) Warning: arc4random not implemented
0x79       Default     0x0                  0      0    kernel: (FairPlayIOKit) Warning: arc4random not implemented
0x79       Default     0x0                  0      0    kernel: (FairPlayIOKit) Warning: arc4random not implemented
0x79       Default     0x0                  0      0    kernel: (AppleM2ScalerCSC) logIosaActivity: log activity queue is null
0x79       Default     0x0                  0      0    kernel: (AppleM2ScalerCSC) logIosaActivity: log activity queue is null
0x79       Default     0x0                  0      0    kernel: (AppleARMPlatform) AppleARMBootPerf: Warning: profile->magic (0x*****244) != 'BTRC'
0x79       Default     0x0                  0      0    kernel: (AppleCredentialManager) AppleCredentialManager: start: starting KE[1] (ready=NO) -> true.
0x79       Default     0x0                  0      0    kernel: (AppleCredentialManager) AppleCredentialManager: initImpl: called, KE[1].
0x79       Default     0x0                  0      0    kernel: (AppleCredentialManager) ACMFirstResponderKernelService: init: called, .
0x79       Default     0x0                  0      0    kernel: (AppleCredentialManager) ACMTRM-S: init: called, starting PersistentStore service.
0x79       Default     0x0                  0      0    kernel: (AppleCredentialManager) ACMTRM-A: init: called, starting TRM Analytics service.
0x79       Default     0x0                  0      0    kernel: (AppleCredentialManager) ACMTRM-C: init: called, starting AccessoryCache service.
0x79       Default     0x0                  0      0    kernel: (AppleCredentialManager) ACMKernelService: initValueFromBootArgAliasesUInt32: acc-cache size = 48 (default).
0x79       Default     0x0                  0      0    kernel: (AppleCredentialManager) ACMKernelService: initValueFromBootArgAliasesUInt32: acc-cache expiration = 2592000 (default).
0x79       Default     0x0                  0      0    kernel: (AppleCredentialManager) ACM: TRMAccCache_SetupEmpty: called, cacheSize=48 expiration=2592000.
0x79       Default     0x0                  0      0    kernel: (AppleCredentialManager) ACMTRM: init: called, starting TRM service.
0x79       Default     0x0                  0      0    kernel: (AppleCredentialManager) ACMKernelService: initValueFromBootArgAliasesUInt32: policy supported in BaseSystem = 0 (default).
0x79       Default     0x0                  0      0    kernel: (AppleCredentialManager) ACMKernelService: initValueFromBootArgAliasesUInt32: config profile = XXXXXXXXXX (default).
0x79       Default     0x0                  0      0    kernel: (AppleCredentialManager) ACMTRM: _getDefaultConfigProfile: config profile: 2 (boot-arg=2 edt-prop=2).
0x79       Default     0x0                  0      0    kernel: (AppleCredentialManager) ACMKernelService: initValueFromBootArgAliasesUInt32: policy mode timeout = 604800 (default).
0x79       Default     0x0                  0      0    kernel: (AppleCredentialManager) ACMKernelService: initValueFromBootArgAliasesUInt32: grace period (bounded) timeout = 259200 (default).
0x79       Default     0x0                  0      0    kernel: (AppleCredentialManager) ACMKernelService: initValueFromBootArgAliasesUInt32: unlocked period timeout = 86400 (default).
0x79       Default     0x0                  0      0    kernel: (AppleCredentialManager) ACMKernelService: initValueFromBootArgAliasesUInt32: enabled by default = 1 (default).
0x79       Default     0x0                  0      0    kernel: (AppleCredentialManager) ACMKernelService: initValueFromBootArgAliasesUInt32: enabled by device type = XXXXXXXXXX (default).
0x79       Default     0x0                  0      0    kernel: (AppleCredentialManager) ACMTRM: _loadEnabledByDeviceType: enabled by device type: NO (boot-arg=NO edt-prop=NO).
0x79       Default     0x0                  0      0    kernel: (AppleCredentialManager) ACMTRM: _loadDisabledByExternalBoot: disabled by ExternalBoot: NO.
0x79       Default     0x0                  0      0    kernel: (AppleCredentialManager) ACMTRM: _loadDisabledByOSEnvironment: disabled by OSEnvironment: NO.
0x79       Default     0x0                  0      0    kernel: (AppleCredentialManager) ACMTRM: _mapAndPublishTRM: set TRM_PolicyTimeout = 604800.
0x79       Default     0x0                  0      0    kernel: (AppleCredentialManager) ACMTRM: _mapAndPublishTRM: set TRM_PolicyReason = Unrestricted(0).
0x79       Default     0x0                  0      0    kernel: (AppleCredentialManager) ACMTRM: _mapAndPublishTRM: set TRM_UnlockedPeriodTimeout = 86400.
0x79       Default     0x0                  0      0    kernel: (AppleCredentialManager) ACMTRM: _mapAndPublishTRM: sending kIOMessageServicePropertyChange(#changes=3) while LOCKED(1), TRM: 604800/U(0) XXXXXXXX95/-(255) M=255/XXXXXXXX95/XXXXXXXX95 ---(255)/---(255) L=255 BS=255 R=255 UP=86400/255, CUR: U(0) -(255).
0x79       Default     0x0                  0      0    kernel: (AppleCredentialManager) AppleCredentialManager: initImpl: KE[1] INITED.
0x79       Default     0x0                  0      0    kernel: (AppleCredentialManager) AppleCredentialManager: initImpl: returning, KE[1] -> true.
0x79       Default     0x0                  0      0    kernel: (AppleCredentialManager) AppleCredentialManager: startImpl: called, KE[1].
0x79       Default     0x0                  0      0    kernel: (AppleCredentialManager) ACMTRM: start: security.mac.acm.root_pivot_occurred sysctl registered.
0x79       Default     0x0                  0      0    kernel: (AppleCredentialManager) AppleCredentialManager: startImpl: initializing power management.
0x79       Default     0x0                  0      0    kernel: (AppleCredentialManager) AppleCredentialManager: startImpl: will join SEPManager's PM tree in getSEPEndpoint().
0x79       Default     0x0                  0      0    kernel: (AppleCredentialManager) AppleCredentialManager: startImpl: registering notifications.
0x79       Default     0x0                  0      0    kernel: (AppleCredentialManager) AppleCredentialManager: startImpl: KE[1] STARTED.
0x79       Default     0x0                  0      0    kernel: (AppleCredentialManager) AppleCredentialManager: startImpl: returning, KE[1] -> true.
0x79       Default     0x0                  0      0    kernel: (AppleCredentialManager) AppleCredentialManager: start: started KE[1] (ready=YES) -> true.
0x79       Default     0x0                  0      0    kernel: (AppleDiskImages2) [0 (ctx)] virtual bool AppleDiskImagesController::start(IOService *)::141: kext version: 198.100.13
0x79       Default     0x0                  0      0    kernel: AppleIPAppender::start(IOResources) <1>
0x79       Default     0x0                  0      0    kernel: (AppleSEPKeyStore) AppleSEPKeyStore:330:0: starting (BUILT: Mar 14 2023 21:25:36) (normal variant)
0x79       Default     0x0                  0      0    kernel: (AppleSEPKeyStore) AppleSEPKeyStore:533:0: _sep_enabled = 1
0x79       Default     0x0                  0      0    kernel: (AppleSSE) AppleSSE::start called
0x79       Default     0x0                  0      0    kernel: (AppleSSE) AppleSSE::start returning, result = 1
0x79       Default     0x0                  0      0    kernel: (BroadcomBluetoothHostControllerUSBTransport) 
**** [BroadcomBluetoothHostControllerUSBTransport][start] -- entering ****
0x79       Default     0x0                  0      0    kernel: (BroadcomBluetoothHostControllerUSBTransport) **** [BroadcomBluetoothHostControllerUSBTransport][start] -- exiting -- success ****
0x79       Default     0x0                  0      0    kernel: (CSRBluetoothHostControllerUSBTransport) 
**** [CSRBluetoothHostControllerUSBTransport][start] -- entering ****
0x79       Default     0x0                  0      0    kernel: (CSRBluetoothHostControllerUSBTransport) **** [CSRBluetoothHostControllerUSBTransport][start] -- exiting -- success ****
0x79       Default     0x0                  0      0    kernel: (CoreAnalyticsFamily) virtual bool CoreAnalyticsHub::start(IOService *)::139:CoreAnalyticsHub start
0x79       Default     0x0                  0      0    kernel: (CoreAnalyticsFamily) virtual bool CoreAnalyticsHub::start(IOService *)::139:CoreAnalyticsHub start
0x79       Default     0x0                  0      0    kernel: (CoreAnalyticsFamily) virtual bool CoreAnalyticsHub::start(IOService *)::218:CoreAnalyticsHub start completed
0x79       Default     0x0                  0      0    kernel: (CoreAnalyticsFamily) virtual bool CoreAnalyticsHub::start(IOService *)::218:CoreAnalyticsHub start completed
0x79       Default     0x0                  0      0    kernel: (IOBluetoothFamily) **** [IOBluetoothFamily][start] -- completed successfully for HIDShim
0x79       Default     0x0                  0      0    kernel: (IOBluetoothHostControllerPCIeTransport) 
**** [IOBluetoothHostControllerPCIeTransport][start] -- entering ****
0x79       Default     0x0                  0      0    kernel: (IOBluetoothHostControllerPCIeTransport) **** [IOBluetoothHostControllerPCIeTransport][start] -- exiting -- success ****
0x79       Default     0x0                  0      0    kernel: (IOBluetoothHostControllerTransport) 
**** [IOBluetoothHostControllerTransport][start] -- entering ****
0x79       Default     0x0                  0      0    kernel: (IOBluetoothHostControllerTransport) **** [IOBluetoothHostControllerTransport][start] -- exiting -- success ****
0x79       Default     0x0                  0      0    kernel: (IOBluetoothHostControllerUARTTransport) 
**** [IOBluetoothHostControllerUARTTransport][start] -- entering ****
0x79       Default     0x0                  0      0    kernel: (IOBluetoothHostControllerUARTTransport) **** [IOBluetoothHostControllerUARTTransport][start] -- exiting -- success ****
0x79       Default     0x0                  0      0    kernel: (IOBluetoothHostControllerUSBTransport) 
**** [IOBluetoothHostControllerUSBTransport][start] -- entering ****
0x79       Default     0x0                  0      0    kernel: (IOBluetoothHostControllerUSBTransport) **** [IOBluetoothHostControllerUSBTransport][start] -- exiting -- success ****
0x79       Default     0x0                  0      0    kernel: (IOBluetoothSerialManager) 
**** [IOBluetoothSerialManager][start] -- entering ****
0x79       Default     0x0                  0      0    kernel: (IOBluetoothSerialManager) **** [IOBluetoothSerialManager][start] -- exiting -- success ****
0x7a       Default     0x0                  0      0    kernel: PMRD: PowerChangeOverride (ON_STATE->ON_STATE, f, 0x2) tag 0x70064
0x7a       Default     0x0                  0      0    kernel: PMRD: PowerChangeDone: ON_STATE->ON_STATE
0x7a       Default     0x0                  0      0    kernel: PMRD: PowerChangeOverride (ON_STATE->ON_STATE, f, 0x2) tag 0x80064
0x7a       Default     0x0                  0      0    kernel: PMRD: PowerChangeDone: ON_STATE->ON_STATE
0x7a       Default     0x0                  0      0    kernel: PMRD: PowerChangeOverride (ON_STATE->ON_STATE, f, 0x2) tag 0x90064
0x7a       Default     0x0                  0      0    kernel: PMRD: PowerChangeDone: ON_STATE->ON_STATE
0x7a       Default     0x0                  0      0    kernel: PMRD: PowerChangeOverride (ON_STATE->ON_STATE, f, 0x2) tag 0xa0064
0x7a       Default     0x0                  0      0    kernel: PMRD: PowerChangeDone: ON_STATE->ON_STATE
0x7a       Default     0x0                  0      0    kernel: PMRD: PowerChangeOverride (ON_STATE->ON_STATE, f, 0x2) tag 0xb0064
0x7a       Default     0x0                  0      0    kernel: PMRD: PowerChangeDone: ON_STATE->ON_STATE
0x7a       Default     0x0                  0      0    kernel: PMRD: power event 7 args 0x***********c85 0x0
0x7a       Default     0x0                  0      0    kernel: PMRD: PowerChangeOverride (ON_STATE->ON_STATE, f, 0x302) tag 0xc0064
0x7a       Default     0x0                  0      0    kernel: PMRD: PowerChangeDone: ON_STATE->ON_STATE
0x79       Default     0x0                  0      0    kernel: Couldn't alloc class "AppleKeyStoreTest"
0x79       Default     0x0                  0      0    kernel: (IOTimeSyncFamily) IOTimeSyncClockManagerLoader::probe TimeSyncTime not ready yet
0x65       Default     0x0                  0      0    kernel: Copyright (c) 1982, 1986, 1989, 1991, 1993
	The Regents of the University of California. All rights reserved.
0x65       Default     0x0                  0      0    kernel: MAC Framework successfully initialized
0x8c       Default     0x0                  0      0    kernel: (AppleT8101) AppleT810xIO::start: chip-revision: B1
0x8c       Default     0x0                  0      0    kernel: (AppleT8101) AppleT810xIO::start: this: <private>, ACCE virt addr: <private>, phys addr: 0x******000
0x8c       Default     0x0                  0      0    kernel: (AppleT8101) AppleT810xIO::start: this: <private>, ACCP virt addr: <private>, phys addr: 0x******000
0xbe       Default     0x0                  0      0    kernel: (AppleS5L8940XI2C) AppleS5L8940XI2CController::start: i2c1 this: <private> _i2cBaseAddress: <private>
0xbf       Default     0x0                  0      0    kernel: (AppleS5L8940XI2C) AppleS5L8940XI2CController::start: i2c2 this: <private> _i2cBaseAddress: <private>
0xc3       Default     0x0                  0      0    kernel: (AppleOLYHAL) AppleOLYHAL::probe: score = 1000
0xc3       Default     0x0                  0      0    kernel: (AppleBCMWLANCore) Driver Boot Checkpoint, bus[0x***********2ca] (1/'kBootCheckPointPCIeInit') - 4.917527541
0xc3       Default     0x0                  0      0    kernel: (AppleBCMWLANCore) Driver Boot Checkpoint, bus[0x***********2ca] (2/'kBootCheckPointPCIeProbe') - 4.917537916
0xc3       Default     0x0                  0      0    kernel: (AppleBCMWLANCore) AppleBCMWLANBusInterfacePCIe::isIOKitEnvironment() WLAN Active Driver mode IOKit
0xc3       Default     0x0                  0      0    kernel: (AppleOLYHAL) AppleOLYHAL::start: entry with provider 0x***********e3d
0xc3       Default     0x0                  0      0    kernel: (corecapture) CCPipe::withOwnerNameCapacity pipeOwner com.apple.driver.AppleOLYHAL pipeName DriverLogs
0xc3       Default     0x0                  0      0    kernel: (corecapture) CCLogPipe::createReportersAndLegend() Done Creating Legend for owner: com.apple.driver.AppleOLYHAL pipe DriverLogs
0xc3       Default     0x0                  0      0    kernel: (corecapture) CCLogPipe::initWithOwnerNameCapacity() IOReporters setup for DriverLogs
0xc6       Default     0x0                  0      0    kernel: (IOPCIFamily) pci (build 20:54:40 Mar  6 2023), flags 0xc3008
0xc6       Default     0x0                  0      0    kernel: (IOPCIFamily) pci (build 20:54:40 Mar  6 2023), flags 0xc3008
0xc6       Default     0x0                  0      0    kernel: (AppleEmbeddedPCIE) AppleEmbeddedPCIE::start this = <private>, _debugFlags = 0x80000001
0xc8       Default     0x0                  0      0    kernel: (IOThunderboltFamily) 4925098us IOThunderboltFamily (build 20:54:53 Mar  6 2023)
0xc8       Default     0x0                  0      0    kernel: (IOThunderboltFamily) 4925098us IOThunderboltFamily (build 20:54:53 Mar  6 2023)
0xc8       Default     0x0                  0      0    kernel: (IOPCIFamily) pci (build 20:54:40 Mar  6 2023), flags 0xc3008
